"language","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"ES",7.07147563279846,-6.51289966399678,7.65079980498752,11.1507832007291,-7.65731234058068,12.4840205599929,-11.7097718857424,3.42659638843557,1.46271520252172,-2.81275273412956,0.866537751632946,-5.24427382038509
"ES",10.9829671733676,-5.15744504970454,3.95206022055212,11.5293811273129,-7.63804669170403,12.1360978188533,-12.0362473181582,3.49194278632722,0.595440752357685,-4.50881099351802,2.33214701045696,-6.22185741204842
"ES",7.82710836372117,-5.4774719375507,7.81625728354177,9.18759183446928,-7.17251058863673,11.7152993936345,-13.8472137647846,4.57407482690652,-1.68755928601376,-7.20404059404916,-0.0118469028342711,-6.46314403041117
"ES",6.74408266350702,-5.68892029059513,6.54678865900131,9.00018318158033,-6.92496340078943,11.710765707178,-12.3743884463117,6.16987885877346,-0.544746654449008,-6.01923700122678,1.35855949477968,-6.35644130804511
"ES",5.83684250980682,-5.32655674992234,7.4722647123844,8.84743979530141,-6.77324443641384,12.6772177022118,-12.3150606993062,4.41634401027015,0.193499859703288,-3.6448119000719,2.15123861667119,-6.81630976946318
"ES",6.26708877521173,-4.22773802771982,7.22774080341415,10.0694181264418,-6.95387058136825,9.38477050978184,-15.3415381099221,6.71853321639703,-0.450951561924955,-7.17758524476969,2.53871288959457,-3.55053616672548
"ES",10.421390959921,-4.26105285733239,7.47247218031419,9.17296126288463,-7.4190834347818,11.3887717744723,-14.5089586423527,6.55709310237008,0.0141102660405277,-8.55991015751888,2.5964145600032,-4.76350834189944
"ES",8.78729307194009,-5.52466662162611,8.75221532378824,10.001286136164,-8.81064703237427,11.8916190344042,-13.2654905516799,6.96857834987611,0.903084613382524,-5.96950802128757,1.76050711639704,-6.10170631078892
"ES",6.75466873114216,-4.6215686833778,10.1726246288567,14.3119377323524,-7.48551222902424,10.1260991877187,-12.3354028244226,5.02238012418246,-0.454546815549509,-9.48712866625829,1.31320337433791,-3.97176185149286
"ES",9.80357677497061,-4.48560517101498,9.09275348349136,12.236940063672,-9.27652350981552,9.97229623944254,-14.0033464049568,6.09932943738871,-0.420891712411646,-9.93510576486665,2.55685070282917,-5.88719697038317
"ES",9.60711502309408,-5.85641387135075,6.80457786115856,13.3180682534306,-8.35642437660256,9.99929017254446,-13.6495874852574,3.19067412531358,1.09363044059041,-8.62870868522816,0.903910468802654,-3.57247210083301
"ES",10.1488044899913,-3.63341078188998,5.47040480335797,11.2640794476089,-6.62455494909327,12.2517509013132,-12.3466338850316,6.7348227204707,1.26449269832838,-6.93023607107644,2.98263625348679,-5.51244698896435
"ES",7.59876258042393,-9.12325171417236,8.85736327441057,10.4406205298606,-8.51308382734778,12.1401785765283,-14.739479916958,4.68215171361502,1.21375694716853,-5.51844834589006,2.27632531403718,-4.33102420437964
"ES",7.07797316160423,-7.26547739787028,9.47413566959611,9.06840093588605,-8.41768408244701,12.1045687611627,-13.2729391752409,3.46232708058393,-1.22524714354835,-5.04044415966783,2.29165310062844,-5.84723946710788
"ES",13.7446056533884,-9.93853120954556,3.06895128641088,13.7950414597551,-6.00746316595853,14.3173954671954,-9.65824149689226,0.3023051329597,1.69964726080244,-10.9902898663939,5.38106302949641,0.124498467742293
